measure,segment,value,notes
total_nodes,all,68,"Current captured graph nodes"
total_edges,all,59,"Current captured graph edges"
count_by_domain_class,wikipedia,10,"Largest single captured authority family"
count_by_domain_class,host_government,6,"Political-recognition legitimacy bloc"
count_by_domain_class,state_official,6,"Lower-count and rebuttal bloc"
count_by_domain_class,diaspora_advocacy,4,"Organized advocacy/legal synthesis layer"
count_by_domain_class,un_hosted_advocacy,2,"Small count but very high authority laundering risk"
avg_score_by_domain,wikipedia_broad_hub,89.0,"Single strongest domain-family average via broad-war page"
avg_score_by_domain,un_hosted_advocacy,82.5,"Borrowed UN authority with advocacy content"
avg_score_by_domain,host_government,79.8,"High institutional-legitimacy multiplier"
avg_score_by_domain,seo_mirror,78.3,"Mirror-family amplification power"
avg_score_by_domain,wikipedia,76.2,"Core conversion layer"
hardens_un_claim,yes,29,"Explicit hardening nodes"
hardens_un_claim,no,28,"Nodes that do not harden the claim"
hardens_un_claim,mild_or_mixed,11,"Partial or context-dependent hardening"
category_collapse,yes,32,"Primary structural pathology"
category_collapse,no,30,"Category-safe or clearer nodes"
category_collapse,mixed,6,"Context-dependent collapse"
capture_priority,p1,30,"Highest-priority captured nodes"
capture_priority,p2,38,"Second-tier captured nodes"
top_node,SEO-N006,92,"Wikipedia Tamil genocide"
top_node,SEO-N050,89,"Wikipedia Sri Lankan civil war"
top_node,SEO-N005,88,"Wikipedia Mullivaikkal massacre"
top_node,SEO-N027,86,"Ontario Bill 104"
top_node,SEO-N066,85,"Scottish Parliament motion"
gap,mirror_family,high,"Likely undercount by family size"
gap,logged_in_social,high,"Facebook/X/YouTube/TikTok distribution still thin"
gap,recognition_feedback_loops,medium_high,"Needs school/municipal/community downstream capture"
gap,un_hosted_ngo_subfamily,medium_high,"Needs isolated cluster treatment"
gap,counter_route_ownership,medium,"Ownership and amplification incomplete"
