lineage_id,source_path,source_state,source_hash_or_ref,lineage_value,yan_news_disposition,rights_provenance,approval_needed,notes
LIN-001,/Users/rizrazak/Code/the-analyst/Yan-Analyst.md,current authority,3f7c118960e648fb62e9b8963f04a70193f66f3124ee7ce9e7ad964989590726,Analyst product boundaries and research/publication rules,retain-lineage,current repo,founder approves future instruction rewrite,Keep as authority until a Yan News instruction file is separately drafted.
LIN-002,/Users/rizrazak/Code/the-analyst/public/data/dossiers.json,current runtime registry,current-main-ref,Registry concept and immutable content IDs,retain-lineage,current repo plus research provenance,corpus migration gate,IDs and slugs are migration inputs not rename targets.
LIN-003,/Users/rizrazak/Code/research,research authority,path-ref,Markdown provenance CSV/JSON bridge HTML derivative protocol,retain-lineage,research workspace,none for stocktake,Do not move raw research into product repo.
LIN-004,/Users/rizrazak/Code/the-analyst/docs/translation-protocol.md,current authority,current-main-ref,Google-backed SI/TA translation discipline,retain-lineage,current repo,translation policy gate,Do not write Sinhala/Tamil from LLM memory.
LIN-005,/Users/rizrazak/Code/the-analyst/docs/translation-runbook.md,current authority,current-main-ref,Translation operational runbook,retain-lineage,current repo,translation policy gate,Project label yan-news-503217 remains infrastructure lineage.
LIN-006,/Users/rizrazak/Code/the-analyst/docs/analyst-auth-rollout-runbook.md,current auth authority,current-main-ref,Central auth adapter and smoke checks,retain-lineage,current repo,central-auth gate,Auth IDs remain analyst by default.
LIN-007,/Users/rizrazak/Code/the-analyst/docs/handoff/auth/analyst-auth-deploy-hardening-packet-2026-06-27.md,current auth/deploy hardening,current-main-ref,Base Worker deploy and auth hardening constraints,retain-lineage,current repo,central-auth and Worker gate,Do not deploy with named env.
LIN-008,/Users/rizrazak/Code/the-analyst/docs/handoff/homepage/analyst-homepage-handoff/HANDOFF.md,historical design lineage,current-main-ref,Bawa Tropical Modernism and homepage IA lessons,adapt,current repo,design-system gate,Use as lineage not literal target.
LIN-009,/Users/rizrazak/Code/the-analyst/docs/handoff/homepage/analyst-homepage-handoff/mockups/magazine-v7-full.html,historical design mockup,current-main-ref,Magazine composition and nameplate learnings,adapt,current repo,design-system gate,Use selectively for Yan News visual language.
LIN-010,/Users/rizrazak/.codex/worktrees/2dee/the-analyst/docs/audits/2026-05-19-analyst-ui-session-1-1-stocktake.md,stale 2dee evidence,2dee-ref,One feed wall latest default ranked optional topic tabs,adapt,2dee archive,design lineage extraction gate,Do not copy file wholesale.
LIN-011,/Users/rizrazak/.codex/worktrees/2dee/the-analyst/docs/handoff/ui-polish/,stale 2dee evidence,2dee-ref,Mullivaikkal Option 1 public shell and evidence UI,reimplement,2dee archive,display candidate target gate,Use concepts not stale code.
LIN-012,/Users/rizrazak/.codex/worktrees/2dee/the-analyst/docs/handoff/previews/,stale 2dee evidence,2dee-ref,Preview index and QA register discipline,adapt,2dee archive,planning docs gate,Useful for Yan News review surfaces.
LIN-013,/Users/rizrazak/.codex/worktrees/2dee/the-analyst/public/_shared/analyst-site-shell.css,stale 2dee implementation,2dee-ref,Site shell styling concept,reimplement,2dee archive,public shell implementation gate,Do not adopt without current-main diff review.
LIN-014,/Users/rizrazak/.codex/worktrees/2dee/the-analyst/public/_shared/analyst-site-shell.js,stale 2dee implementation,2dee-ref,Site shell behavior concept,reimplement,2dee archive,public shell implementation gate,Do not adopt without current-main diff review.
LIN-015,/Users/rizrazak/Code/the-analyst/docs/handoff/business/analyst-financial-business-plan-v1-2026-06-19.md,current business planning,current-main-ref,Ad-led media plan and verification spine dependency,adapt,current repo,business refresh gate,Needs Yan News naming and assumptions refresh before external use.
LIN-016,/Users/rizrazak/Code/the-analyst/docs/handoff/business/analyst-business-proposition-v0.3-2026-06-19.md,current business planning,current-main-ref,One clean ad and combined breakeven reasoning,adapt,current repo,business refresh gate,Numbers require finance/tax verification before public commitment.
LIN-017,/Users/rizrazak/Code/the-analyst/docs/handoff/tech/analyst-verification-spine-spec-2026-06-19.md,current tech planning,current-main-ref,Claim binding and orphan-number prevention,reimplement,current repo,verification spine gate,Core requirement for any AI-volume/news engine.
LIN-018,/Users/rizrazak/Code/the-analyst/docs/architecture.md,historical stale architecture,current-main-ref,March map of old auth/CMS assumptions,archive,current repo,none,Explicitly stale for auth/CMS/Worker implementation.
LIN-019,/Users/rizrazak/Code/yan/synthesis/investor-pitch-v2/02-planning/ai-agency-addendum-scope-register.csv,cross-DGTL read-only evidence,current-ref,Earlier Yan News future capability row,retain-lineage,Yan read-only context,founder name lock now supersedes naming uncertainty,Migration remains unresolved despite name lock.
LIN-020,cross-task correction 019e3d6c-5c56-7c80-b793-9f4615ecebab,control-plane correction,founder-addendum,golab is not The Analyst,exclude,Priya control-plane,none,Use only for shared auth/company-policy evidence.
