measure,segment,count,share_percent
heat_band,grey_low_or_supporting,45,45.0
heat_band,green_context_or_source_safe,26,26.0
heat_band,gold_watch_and_correct,15,15.0
heat_band,orange_high_priority,11,11.0
heat_band,red_critical_authority_hardening,3,3.0
priority_lane,wikipedia_mirror_kg,28,28.0
priority_lane,source_authority,15,15.0
priority_lane,other_surface,14,14.0
priority_lane,counter_route,10,10.0
priority_lane,social_video,9,9.0
priority_lane,advocacy_memorial,8,8.0
priority_lane,ngo_legal_evidence,7,7.0
priority_lane,political_recognition,6,6.0
priority_lane,media,3,3.0
audience_surface,editors_students_journalists_ai_snippets,28,28.0
audience_surface,general_search_readers,16,16.0
audience_surface,diaspora_community_readers_campaigners,13,13.0
audience_surface,sri_lankan_civic_readers_state_media_counter_campaigns,12,12.0
audience_surface,social_users_creators_commenters,9,9.0
audience_surface,policy_staff_diaspora_civic_educators,8,8.0
audience_surface,human_rights_readers_fact_checkers_editors,7,7.0
audience_surface,journalists_general_readers_explainer_creators,4,4.0
audience_surface,investigators_transparency_readers,3,3.0
counter_asset,citation_audit_talk_page_packet_plus_source_chain_visual,26,26.0
counter_asset,evidence_packet_link,22,22.0
counter_asset,claim_table_with_source_wording_and_category_labels,15,15.0
counter_asset,counter_route_audit_showing_lower_count_limits,11,11.0
counter_asset,short_shareable_fact_check_card_and_comment_template,9,9.0
counter_asset,briefing_note_for_political_recognition_vs_casualty_method,8,8.0
counter_asset,editor_note_pitch_with_precise_safe_wording,6,6.0
counter_asset,transparency_note_separating_capacity_from_causation,3,3.0
