claim_id,public_claim,number,geography,time_window,category,status,safe_public_wording,evidence_bundle
MUL-C001,The 40000 figure stems from the 2011 UN Panel,40000,Vanni/final phase,final phase 2009,upper_estimate,PROVISIONAL_STRONG,UN-linked estimates put possible final-phase civilian deaths up to 40000.,UN Source Chain
MUL-C002,The UN did not present 40000 as exact,40000,Vanni/final phase,final phase 2009,source_boundary,VERIFIED_TEXTUAL,The UN Panel did not present 40000 as an exact verified count.,UN Source Chain
MUL-C003,40000 in Mullivaikkal alone is unsupported as stated,40000,Mullivaikkal alone,May 2009,location_claim,PROVISIONAL_STRONG,Current strongest sources do not verify 40000 deaths in Mullivaikkal alone.,UN Source Chain
MUL-C014,Lower observed figures are floors not ceilings,7721 / 18479,Vanni/final phase,2009-01-20 to 2009-05-13,observed_floor,PROVISIONAL_STRONG,Recorded floors cannot be treated as total casualty ceilings.,Casualty Number Matrix
MUL-C016,70000 routes usually reflect unaccounted or population-gap reasoning,70000,Vanni/final phase,postwar accounting,unaccounted,PROVISIONAL_STRONG,70000 routes must be labelled as unaccounted or population-gap unless a death-count source is shown.,Casualty Number Matrix
MUL-C017,169796 is an advocacy/demographic model route,169796,Mullaitivu and Kilinochchi,2009-01 to 2009-05,modelled_or_unaccounted,PROVISIONAL_STRONG,169796 should not be presented as a UN or universally verified death count.,Casualty Number Matrix
SEO-C001,Wikipedia and mirrors harden cautious source language,40000-70000,search ecosystem,post-2011,claim_hardening,CAPTURED,Wikipedia-family and mirror pages are high-power claim-hardening surfaces.,SEO Power Network
SEO-C002,UN-hosted NGO statements are not UN findings,various,UN document domain,post-2009,authority_laundering,CAPTURED,A UN-hosted NGO submission is not the same as a UN finding.,SEO Power Network
FUND-C001,Funding capacity is not proof of message causation,n/a,stakeholder ecosystem,current,incentive_boundary,CAPTURED,Visible organizations and funding capacity do not prove a funded falsehood.,Stakeholder/Incentive Map
VP-002,The viral post overstates the UN claim as Mullivaikkal-only,40000,Mullivaikkal,May 2009,viral_claim,OVERSTATED_AS_WRITTEN,The viral wording is overstated if read as a literal UN-backed Mullivaikkal-only claim.,Viral Claim Dossier
MUL-C005,Sri Lankan official and lower estimates exist but do not settle the count,various,conflict area/final phase,final months 2009,lower_counterclaim,PROVISIONAL,Lower official estimates must be included but cannot be treated as neutral ceilings without method review.,Counter-Route Network
MUL-C011,DCS EVE-2011 is a lower official enumeration not a battlefield ceiling,8998 / 6858 / 2635,Northern Province,2009-01 to 2009-05,official_enumeration,PROVISIONAL_STRONG,DCS EVE-2011 is necessary lower official evidence but not a battlefield casualty audit.,Casualty Number Matrix
MUL-C015,Early official and pro-state lower estimates need category review,3000-5000 / 6710 / nearly 7000,conflict area/final phase,final months 2009,lower_counterclaim,PROVISIONAL,Early lower estimates are part of the record but need civilian/combatant and method caveats.,Counter-Route Network
MUL-C018,NGO and remembrance sources can compress final-phase estimates into Mullivaikkal wording,40000,Mullivaikkal/remembrance context,last days of war / May 2009,location_compression,PROVISIONAL_STRONG,Later remembrance language can attach final-phase estimates to Mullivaikkal without proving a Mullivaikkal-only count.,SEO Power Network
MUL-C019,LLRC records disputed outside estimates and non-verification,various,NFZ/Vanni/final phase,2009-01 to 2009-05,review_of_claims,VERIFIED_TEXTUAL,"LLRC is useful for the dispute record and non-verification posture, not a settled casualty total.",Counter-Route Network
MUL-C020,Paranagama and Naseby counter-routes require category and incentive review,6710 / nearly 7000,NFZ/final phase,2009-01 to 2009-04,lower_counterclaim,PROVISIONAL,Counter-routes provide adversarial scrutiny but do not by themselves settle civilian deaths.,Counter-Route Network
MUL-C021,Surrender and disappearance subsets must stay separate from shelling deaths,503,Vadduvakal and related surrender routes,2009-05-17 to 2009-05-19,disappearance_subset,PROVISIONAL_STRONG,Disappearance subsets are accountability evidence but not interchangeable with shelling-fatality estimates.,Casualty Number Matrix
MUL-C022,HRW and similar NGO restatements are derivative of UN-linked estimates,40000,Vanni/final months,final months 2009,secondary_un_restatement,PROVISIONAL_STRONG,NGO restatements can corroborate mainstreaming but should not be treated as new counting exercises.,SEO Power Network
MUL-C023,ICRC humanitarian routes support context not total casualty arithmetic,250000,Vanni/conflict zone,early 2009 to May 2009,humanitarian_context,VERIFIED_CONTEXT,"ICRC routes support civilian-entrapment and humanitarian-law context, not a total death count.",Casualty Number Matrix
MUL-C027,Amnesty 2024 compresses location/number and links to OHCHR 2024 disappearance context,40000,Mullivaikkal wording / source route final phase,2024 article / 2009 context,location_compression_weak_link,VERIFIED_ROUTE,"Amnesty 2024 is a high-authority propagation surface; its linked OHCHR 2024 report supports disappearance/accountability context, not the exact Mullivaikkal casualty claim.",SEO Power Network
MUL-C028,Guardian May 2009 reports are media/witness routes not audited casualty totals,1400 / 15000 reported claims,No Fire Zone / final Vanni pocket,May 2009,media_witness_route,VERIFIED_ROUTE,"Guardian reports can be used for contemporaneous civilian-harm context with verification limits, not as final casualty-count authority.",SEO Power Network
MUL-C029,PEARL duplicate routes collapse into a cluster but child claims remain distinct,varies,varies,varies,visual_cluster_model,DATA_MODEL,"Use PEARL as a cluster for visual clarity, then inspect child nodes for exact claims and source routes.",Stakeholder/Incentive Map
MUL-C030,BTF organization/company routes show public footprint not message causation,n/a,UK / diaspora organization context,current registry routes,funding_visibility_boundary,DATA_MODEL,Organization existence and financial capacity do not prove paid propaganda or message control.,Stakeholder/Incentive Map
