surface_id,current_identifier,path,class,runtime_coupling,audience,sensitivity,authority,proposed_destination,treatment,prerequisite_decision,verification,rollback,external_use_status
SURF-001,The Analyst,src/pages/HomePage.jsx,source,public React homepage,public,brand,current main,Yan News,rename-after-gate,display-only brand approval,visual QA and text diff,restore prior label from git,no
SURF-002,The Analyst,src/pages/SearchPage.jsx,source,public React search,public,brand,current main,Yan News,rename-after-gate,display-only brand approval,search page smoke,restore prior label from git,no
SURF-003,The Analyst,index.html,source,root SEO and social metadata,public,SEO,current main,Yan News,rename-after-gate,SEO/canonical wording approval,static metadata diff,restore prior metadata,no
SURF-004,analyst.rizrazak.com,public/CNAME,source,GitHub Pages domain,public,domain/current runtime,current main,undecided Yan News domain,retain-lineage,domain gate,Pages DNS smoke,restore current CNAME,no
SURF-005,analyst.rizrazak.com,wrangler.toml,source,Cloudflare Worker route,public/auth/CMS critical,high,current main,undecided Yan News route,retain-lineage,Worker/domain gate,Wrangler dry-run and route smoke,restore current route,no
SURF-006,riz-razak/analyst,wrangler.toml,source,CMS publish target,admin/CMS,high,current main,undecided repo identity,retain-lineage,repo/CMS gate,CMS dry-run against non-production,restore current repo,no
SURF-007,analyst,wrangler.toml,source,central auth client ID,admin/auth,critical,current main,possible Yan News auth client,retain-lineage,central-auth gate,auth start/callback/me smoke,restore current client,no
SURF-008,https://analyst.rizrazak.com/auth/unified/callback,wrangler.toml,source,central auth redirect URI,admin/auth,critical,current main,possible Yan News callback,retain-lineage,central-auth/domain gate,central callback allowlist smoke,restore current redirect,no
SURF-009,__Host-analyst_session,functions/collaborative-session.js,source,product-local session cookie,admin/auth,critical,current main,possible Yan News session cookie,retain-lineage,central-auth compatibility gate,login/logout cookie smoke,restore current cookie,no
SURF-010,analyst.admin.access,functions/collaborative-session.js,source,admin authorization right,admin/auth,critical,current main,possible Yan News rights namespace,retain-lineage,central-auth rights gate,/auth/me right check,restore current right,no
SURF-011,analyst.*,functions/_middleware.js,source,Pages function authorization,admin/auth,critical,current main,possible Yan News rights namespace,retain-lineage,central-auth rights gate,anonymous denial and admin allow smoke,restore current rights,no
SURF-012,The Analyst,public/data/dossiers.json,source,public dossier registry,public/CMS,medium,current main,Yan News,rename-after-gate,corpus disclosure decision,registry schema and homepage smoke,restore registry diff,no
SURF-013,2026-al-cohort,public/data/dossiers.json,source,dossier ID and slug,public/CMS/feed,high,current main,retain existing slug,retain-lineage,corpus migration gate,URL and registry smoke,restore current ID,no
SURF-014,mullivaikkal-40000-deaths,public/data/dossiers.json,source,dossier ID and slug,public/CMS/feed,high,current main,retain existing slug,retain-lineage,corpus migration gate,URL and registry smoke,restore current ID,no
SURF-015,The Analyst,public/2026-al-cohort/index.html,source,live dossier brand/publisher,public/legal/SEO,high,current main,Yan News or transitional alias,rename-after-gate,dossier lineage/disclosure gate,page static smoke and structured data diff,restore prior dossier file,no
SURF-016,analyst.rizrazak.com,public/2026-al-cohort/index.html,source,live dossier canonical references,public/SEO,high,current main,current domain until domain gate,retain-lineage,domain/canonical gate,canonical and OG diff,restore current URLs,no
SURF-017,The Analyst,public/_shared/dossier-base.css,source,shared dossier styling labels/tokens,public,medium,current main,Yan News design system,reimplement,design-system gate,visual QA across sample dossiers,restore current shared CSS,no
SURF-018,The Analyst,brand/brand-design-system.md,source,brand documentation,internal/public reference,medium,current main,Yan News brand system,reimplement,brand system gate,design review,retain as lineage doc,no
SURF-019,analyst.rizrazak.com,scripts/maintenance/inject-jsonld.py,source,SEO maintenance script,ops/SEO,medium,current main,Yan News canonical values,rename-after-gate,SEO migration gate,dry-run diff on fixtures,restore script,no
