claim_id,original_sinhala_theme,post_claim_english_paraphrase,claim_type,source_needed,current_source_route,source_check_result,status,publication_note
VP-001,Gaza comparison,"The UN's Gaza civilian death claims are accepted by some Sri Lankans while UN-linked Mullivaikkal claims are rejected.",moral_analogy_and_public_discourse,"Current Gaza source route and evidence of local discourse reaction",user-supplied viral post,"Analogy observable in the post; public-reaction generalization not independently evidenced.",HYPOTHESIS,"Keep as analysis of rhetoric, not a verified description of all Sri Lankan opinion."
VP-002,40000 Mullivaikkal number,"The UN says more than 40000 civilians died in Mullivaikkal.",numeric_location_claim,"UN Panel wording; OISL; later NGO/remembrance wording",MUL-S001; MUL-S004; MUL-S006,"UN Panel supports up to 40000 final-phase/Vanni civilian deaths; it does not verify Mullivaikkal-only wording.",OVERSTATED_AS_WRITTEN,"Current evidence does not support this sentence as written."
VP-003,attacks on hospitals,"Sri Lankan forces attacked hospitals in the final phase.",empirical_incident_pattern,"UN Panel; OISL; State Department; ICRC/hospital routes",MUL-S001; MUL-S004; MUL-S021,"Strongly supported as an incident-pattern claim, though sentence-level site details still need mapping.",PROVISIONAL_STRONG,"Safe only if site and time labels are explicit."
VP-004,attacks on shelters and food lines,"Sri Lankan forces attacked IDP shelters and food-distribution lines.",empirical_incident_pattern,"UN Panel; OISL; specific incident routes",MUL-S001; MUL-S004,"Supported in broad pattern terms; specific incidents should be cited separately.",PROVISIONAL,"Do not compress multiple site types into one unsupported mega-claim."
VP-005,UN and ICRC-linked areas,"Sri Lankan forces attacked areas where UN staff or ICRC-linked workers were present.",empirical_incident_pattern,"UN Panel; OISL; ICRC route",MUL-S001; MUL-S004; MUL-S021,"Broadly plausible from the evidence environment, but sentence-level proof still needs direct incident mapping.",PROVISIONAL,"Use only after splitting by incident and source."
VP-006,LTTE held civilians,"The LTTE held large numbers of civilians as hostages or human shields and shot at people who tried to flee.",empirical_context_claim,"UN Panel; OISL; HRW/ICRC routes",MUL-S001; MUL-S004; MUL-S021,"Strongly supported as contextual final-phase conduct by the LTTE.",PROVISIONAL_STRONG,"Important context and not a moral excuse for state violations."
VP-007,Rajapaksa motive claim,"The Rajapaksa government prioritized ending the war quickly and sacrificed more than 40000 civilians for that political objective.",political_motive_and_causation,"Decision records; military logs; UN/OISL; chronology",MUL-S001; MUL-S004; MUL-S015,"Evidence supports severe civilian-harm allegations and pressure to finish the war, but motive and sacrifice wording require a higher gate.",HOLD,"Do not publish this as a proved motive claim yet."
VP-008,heavy weapons despite warnings,"UN and ICRC asked Sri Lanka not to use heavy weapons at Mullivaikkal but attacks continued.",empirical_and_diplomatic_history,"UN/ICRC statements; Panel; OISL; government commitments",MUL-S001; MUL-S004; MUL-S021,"Needs direct warning/commitment sourcing before it becomes public-safe.",PROVISIONAL,"Likely supportable, but still needs a direct warning chain."
VP-009,remembrance imbalance,"Sri Lanka remembers fallen soldiers but does not adequately remember Tamil civilians killed in the final phase.",memory_and_civic_claim,"State commemoration practice; memorial restrictions; HRW/Amnesty; Special Procedures",MUL-S022; UN-R016,"Broadly supportable as a civic-memory claim with postwar memorialization evidence.",PROVISIONAL_STRONG,"Admissible if kept at the level of practice and restrictions, not total social psychology."
VP-010,memorial suppression,"Families are prevented from memorializing the dead and are sometimes treated as suspect or terrorist-linked.",memory_and_repression_claim,"HRW/Amnesty/Special Procedures and local case routes",MUL-S022; UN-R016,"Supported as a documented restriction pattern, but time periods and administrations must be distinguished.",PROVISIONAL,"Do not universalize across all years or all administrations."
VP-011,LTTE terrorism,"The LTTE killed civilians and was a terrorist organization.",contextual_and_legal_political_claim,"Attack history and proscription routes",general conflict record,"Broadly supportable context claim, though this package is not primarily an LTTE-proscription file.",PROVISIONAL,"Admissible context if not used as a state-conduct excuse."
VP-012,state duty,"A state has a higher duty than a terrorist organization and cannot justify civilian harm by moral equivalence.",normative_and_legal_philosophical_claim,"IHL and civic-duty framing",Philosophy Forum plus IHL sources,"This is an argument, not a factual claim requiring empirical proof.",HOLD_AS_ARGUMENT,"Publish only as explicit normative analysis."
VP-013,AI authorship allegation,"The post may have been AI-written.",authorship_forensics_allegation,"Drafting metadata; admission; stylometry; overlap or prompt residue",user allegation only,"No forensic evidence captured in this pass.",HYPOTHESIS_ONLY,"Do not publish as fact."
VP-014,SEO-driven diaspora source-chain allegation,"The post may have absorbed SEO-driven Tamil diaspora propaganda.",source_chain_allegation,"Exact phrase overlap; citation genealogy; author source trail; SEO graph",SEO map,"Current evidence supports citation propagation and high-authority repetition; it does not prove author intent or funded coordination.",HYPOTHESIS_ONLY,"Keep as a research hypothesis, not a finding."
VP-015,Gaza to Mullivaikkal image,"The post's image is documentary evidence of a direct Gaza-to-Mullivaikkal visual chain.",visual_provenance_claim,"Reverse-image and source-path capture",screenshot image only,"Current assessment: unverified composite or editorial image, not documentary proof.",REJECT_AS_EVIDENCE,"Do not use the image as evidence for casualty or provenance claims."
