source_id,title,url,type,source_class,reliability_note,campaign_use
MUL-S001,UN Panel 2011,https://www.law.umich.edu/facultyhome/drwcasebook/Documents/Documents/Report%20of%20the%20Panel%20of%20Experts%20on%20Accountability%20in%20Sri%20Lanka.pdf,UN report,primary_un_linked,Core source for cautious upper estimate; not exact or Mullivaikkal-only,hub_page_origin
MUL-S003,Petrie/Internal Review 2012,https://digitallibrary.un.org/record/737299/files/The_Internal_Review_Panel_report_on_Sri_Lanka.pdf,UN internal review,un_context,UN failure and under-reporting context; not a new death count,unaccounted_context
MUL-S004,OISL 2015,https://www.ohchr.org/sites/default/files/documents/hrbodies/hrcouncil/sessions-regular/session30/documents/a-hrc-30-crp-2.pdf,OHCHR investigation,un_legal_factual,Strong incident/legal pattern source; not a total casualty audit,accountability_context
MUL-S007,DCS EVE-2011,https://www.statistics.gov.lk/Resource/en/Population/Vital_Statistics/EVE2011_FinalReport.pdf,official statistics,state_official,Lower official enumeration; not a battlefield casualty ceiling,counter_route
MUL-S013,Paranagama Commission,https://www.parliament.lk/uploads/documents/paperspresented/report-of-paranagama.pdf,domestic commission,state_commission,Adversarial critique of high estimates; incentive context required,counter_route
MUL-S014,Lord Naseby Hansard,https://hansard.parliament.uk/Lords/2017-10-12/debates/14CAA83D-8895-4182-8C4F-D964E0A5B399/SriLanka,parliamentary debate,host_counter_route,Lower-count political route; not full independent count,counter_route
MUL-S006,Amnesty Mullivaikkal 2024,https://www.amnesty.org/en/latest/news/2024/05/sri-lanka-fifteen-years-after-the-end-of-war-victims-still-await-justice-at-mullivaikkal/,NGO statement,ngo,High-authority NGO but location-compression risk,hardening_example
MUL-S009,Human Rights Watch 2024,https://www.hrw.org/news/2024/05/14/15-years-sri-lankas-conflict-ended-no-justice-war-crimes,NGO statement,ngo,Cleaner derivative restatement of UN estimate,supporting_context
MUL-S017,ITJP death toll brief,https://itjpsl.com/assets/ITJP_death_toll_A4_v6.pdf,advocacy data brief,advocacy_model,High-number model route; category labels required,high_number_explainer
SEO-N005,Wikipedia Mullivaikkal massacre,https://en.wikipedia.org/wiki/Mullivaikkal_massacre,hub,wikipedia_hub,Captured surface in internal top-100 evidence set; not proof of independent corroboration,seo_power_network
