workstream_id,workstream,owner,decision,allowed_paths_actions,hard_stops,tests,rollback,release_authority,status
WS-001,R0 baseline and freeze,Priya #9,Record authority without mutation,docs/handoff/yan-news-rename-reset-stocktake-2026-07-23 only,No cleanup merge rebase deploy rename or worktree creation,git status and hash capture,delete R0/R1 package before commit if rejected,founder,active
WS-002,R1 rename authority matrix,Priya #9 with Vidura #14,Classify surfaces before display candidate,docs/handoff/yan-news-rename-reset-stocktake-2026-07-23 registers only,No global replacement and no runtime edits,CSV/JSON structural review,revert register docs,founder,active
WS-003,Display-only candidate,Ridma #11 with Nuwan #12,Prepare Yan News brand surface after R1 approval,allowlisted React/static metadata files only after separate candidate gate,No auth domain Worker CMS data slug ID or feed changes,npm run lint npm run build git diff --check visual QA,revert candidate commit,founder plus Senevi,blocked-pending-R1
WS-004,Design system and IA,Ridma #11,Translate Analyst lineage into Yan News visual system,docs/design refs and future style files after gate,No stale 2dee code copy,desktop/mobile visual QA and color scan,revert design package,founder,blocked-pending-display-gate
WS-005,Homepage and discovery,Nuwan #12 with Ridma #11,Adapt one feed wall latest/ranked/topic tabs to Yan News,current-main homepage files only after gate,No CMS or dossier registry ID changes,homepage smoke and Playwright visual QA,revert homepage package,founder,blocked-pending-design-gate
WS-006,Corpus and dossier lineage,Vidura #14,Map existing dossiers to Yan News lineage,registers and docs only before corpus gate,No slug ID canonical feed GUID or claim changes,registry validation and URL smoke,restore registry and page diffs,founder plus publication approval,deferred
WS-007,Domain SEO RSS social,Sarala #26 with Senevi #5,Choose domain posture and compatibility window,docs/registers first then exact SEO package,No CNAME DNS redirect canonical feed sitemap robots change,static SEO diff and redirect map QA,revert SEO package and restore canonicals,founder plus release gate,deferred
WS-008,Auth and product identity,Bala #2,Decide whether Yan News gets a new central-auth product identity,docs only until central-auth package,No AUTH client right cookie callback CORS CSRF session changes,/auth/me login logout AAL2 smoke after later package,Worker rollback version and env restore,founder plus central auth gate,deferred
WS-009,CMS admin and data,Senevi #5 with Bala #2,Separate display labels from data/runtime migration,docs only until CMS gate,No GitHub repo target KV Supabase draft store publish API changes,CMS read draft publish non-production smoke,restore API/config diffs,founder plus CMS gate,deferred
WS-010,Worker and deployment,Senevi #5,Preserve base Worker deploy discipline,docs only until Worker release gate,No wrangler route binding secret env or deploy changes,wrangler dry-run build auth smoke,Worker version rollback,founder explicit deploy approval,deferred
WS-011,Business and financial planning,Hasib #30 with Harini #45,Refresh Analyst business plan under Yan News assumption,docs/handoff/business after gate,No public committed numbers without finance/tax verification,formula and source review,revert planning docs,founder plus finance review,deferred
WS-012,About mission standards team,Prem #10 with Priya #9,Create Yan News public trust scaffold after display direction,docs and future static route after gate,No legal/publisher final claims without legal review,copy review and accessibility smoke,revert scaffold,founder plus legal review,deferred
WS-013,Agentic search and CMS predictability,Nuwan #12 with Vidura #14,Design evidence-gated indexing with automatic article capture,architecture packet only before runtime gate,No database index crawler embeddings or external AI calls in R1,architecture review and privacy/security threat model,discard packet,founder plus tech gate,deferred
WS-014,Translation policy,Elubaas with Senevi #5,Preserve Google-backed translation baseline,translation docs only,No Sinhala/Tamil from LLM memory and no provider substitution,translation preflight and QA gate,restore translation docs,founder plus language review,deferred
WS-015,Cross-DGTL dependency evidence,Priya #9,Use golab only for shared auth/company-policy evidence,read-only references only,No golab product UI data runtime or migration authority imported,source citation review,remove incorrect reference,founder/control plane,active
