trace_id,observed_node_id,observed_url_id,claim_instance_id,claimed_source_url_id,final_source_id,final_source_url_id,support_type,support_status,weak_link_reason,trace_confidence,notes
TR-001,SEO-N012,URL-012,RCI-019,URL-001,SEO-N001,URL-001,death_count_route,supports_final_phase_upper_estimate_not_mullivaikkal_only,Location compression: Amnesty wording attaches the UN-linked estimate to Mullivaikkal remembrance geography.,HIGH,Use Amnesty as high-authority propagation surface; route returns to UN Panel for the number.
TR-002,SEO-N012,URL-012,RCI-019,URL-082,SEO-N069,URL-082,disappearance_accountability_route,does_not_support_exact_casualty_location_claim,"Linked OHCHR 2024 report is about enforced disappearances/accountability, not a fresh Mullivaikkal death-toll source.",HIGH,This is the weak-link audit requested for Amnesty 2024.
TR-003,SEO-N006,URL-006,RCI-080,URL-003,SEO-N003,URL-003,incident_accountability_route,supports_incident_pattern_not_casualty_total,"OISL supports conduct/accountability and incident pattern; it does not verify 40,000 or 70,000 as death counts.",HIGH,OISL chain repair for Tamil genocide page route.
TR-004,SEO-N020,URL-020,RCI-027,URL-003,SEO-N003,URL-003,legal_accountability_route,supports_legal_argument_context_not_tribunal_finding,"Legal advocacy argument draws on OISL, but OISL is not a genocide or casualty-total adjudication.",HIGH,PEARL legal brief source role separated from casualty math.
TR-005,SEO-N041,URL-041,RCI-048,URL-003,SEO-N003,URL-003,legal_accountability_route,supports_incident_and_accountability_context_only,"OISL cannot carry the 169,796 unaccounted model or a precise 40,000 death toll.",HIGH,PEARL 2024 legal/advocacy stack.
TR-006,SEO-N040,URL-040,RCI-047,URL-001,SEO-N001,URL-001,death_count_route,supports_final_phase_upper_estimate_not_higher_unaccounted_route,"Combines UN-linked 40,000 with higher unaccounted routes; categories must remain separate.",MEDIUM_HIGH,PEARL remembrance route.
TR-007,SEO-N048,URL-048,RCI-055,URL-012,SEO-N012,URL-012,repost_route,derivative_of_amnesty_wording,Repost amplifies Amnesty wording; it is not independent source support.,HIGH,Ilankai Tamil Sangam Amnesty repost.
TR-008,SEO-N070,URL-083,RCI-109,URL-083,SEO-N070,URL-083,media_witness_route,supports_contemporaneous_incident_context_not_audited_total,Independent access was restricted and Guardian labels verification limits.,MEDIUM_HIGH,Guardian 11 May 2009 media route.
TR-009,SEO-N071,URL-084,RCI-110,URL-084,SEO-N071,URL-084,media_witness_route,supports_contemporaneous_witness_context_not_audited_total,Witness claims and third-party interviews are not an audited casualty methodology.,MEDIUM,Guardian 19 May 2009 media route.
TR-010,SEO-N005,URL-005,RCI-077,URL-083,SEO-N070,URL-083,citation_stack_media_route,supports_incident_context_not_exact_40000_70000_range,"Guardian report does not independently support combined 40,000-70,000 range as UN death toll.",MEDIUM,Wikipedia Mullivaikkal route using media citation stack.
TR-011,SEO-N005,URL-005,RCI-077,URL-084,SEO-N071,URL-084,citation_stack_media_route,supports_witness_context_not_exact_40000_70000_range,"Guardian report contains a contemporaneous 15,000 claim, not a UN-backed 40,000-70,000 death-toll settlement.",MEDIUM,Wikipedia Mullivaikkal route using media citation stack.
TR-012,CLUSTER-PEARL,URL-076,RCI-111,URL-076,CLUSTER-PEARL,URL-076,cluster_parent,clusters_child_nodes_only,Cluster does not add independent evidence; inspect child nodes for exact claims and sources.,HIGH,PEARL duplicate consolidation.
TR-013,CLUSTER-BTF,URL-032,RCI-112,URL-032,CLUSTER-BTF,URL-032,organization_visibility_cluster,organization_existence_not_message_causation,Organization/company existence and public capacity do not prove paid propaganda or message control.,HIGH,BTF duplicate/company-route consolidation.
TR-014,VP-002,URL-075,RCI-107,URL-001,SEO-N001,URL-001,viral_claim_source_route,source_route_exists_but_literal_claim_overstates_geography,UN Panel route does not verify the viral post wording if read as Mullivaikkal-only.,MEDIUM_HIGH,Viral Sinhala post route.
TR-015,VP-002,URL-075,RCI-107,URL-003,SEO-N003,URL-003,viral_claim_accountability_route,supports_accountability_context_not_death_toll,"OISL is not a 40,000 death-count source.",MEDIUM_HIGH,Viral post often blends UN/OISL authority; keep separate.
